Week,Week Dates (Mon-Fri),Date,Day,Start (ADT),End (ADT),Duration (hrs),Meeting Title
10,2026-05-18 to 2026-05-22,2026-05-22,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
10,2026-05-18 to 2026-05-22,2026-05-22,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
11,2026-05-25 to 2026-05-29,2026-05-25,Monday,1:00 PM,1:30 PM,0.5,Daily Standup
11,2026-05-25 to 2026-05-29,2026-05-25,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
11,2026-05-25 to 2026-05-29,2026-05-25,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
11,2026-05-25 to 2026-05-29,2026-05-26,Tuesday,1:00 PM,1:30 PM,0.5,Daily Standup
11,2026-05-25 to 2026-05-29,2026-05-26,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
11,2026-05-25 to 2026-05-29,2026-05-27,Wednesday,1:00 PM,1:30 PM,0.5,Daily Standup
11,2026-05-25 to 2026-05-29,2026-05-27,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
11,2026-05-25 to 2026-05-29,2026-05-27,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
11,2026-05-25 to 2026-05-29,2026-05-27,Wednesday,9:30 AM,10:00 AM,0.5,Tech Talk || Agentic Agents
11,2026-05-25 to 2026-05-29,2026-05-28,Thursday,1:00 PM,1:30 PM,0.5,Daily Standup
11,2026-05-25 to 2026-05-29,2026-05-28,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
11,2026-05-25 to 2026-05-29,2026-05-29,Friday,1:00 PM,1:30 PM,0.5,Daily Standup
11,2026-05-25 to 2026-05-29,2026-05-29,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
11,2026-05-25 to 2026-05-29,2026-05-29,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
12,2026-06-01 to 2026-06-05,2026-06-03,Wednesday,12:00 PM,1:00 PM,1.0,Citco Canada webinar - Your Group Retirement
12,2026-06-01 to 2026-06-05,2026-06-03,Wednesday,9:30 AM,11:00 AM,1.5,CTM Town Hall
13,2026-06-08 to 2026-06-12,2026-06-08,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
13,2026-06-08 to 2026-06-12,2026-06-08,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
13,2026-06-08 to 2026-06-12,2026-06-08,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
13,2026-06-08 to 2026-06-12,2026-06-09,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
13,2026-06-08 to 2026-06-12,2026-06-09,Tuesday,9:30 AM,10:00 AM,0.5,Tech Talk || Idea Box Agent (part of the Solution...)
13,2026-06-08 to 2026-06-12,2026-06-10,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
13,2026-06-08 to 2026-06-12,2026-06-10,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
13,2026-06-08 to 2026-06-12,2026-06-10,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
13,2026-06-08 to 2026-06-12,2026-06-11,Thursday,9:00 AM,10:00 AM,1.0,Citco Works Monitoring Requirements
13,2026-06-08 to 2026-06-12,2026-06-12,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
13,2026-06-08 to 2026-06-12,2026-06-12,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
13,2026-06-08 to 2026-06-12,2026-06-12,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
14,2026-06-15 to 2026-06-19,2026-06-15,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
14,2026-06-15 to 2026-06-19,2026-06-15,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
14,2026-06-15 to 2026-06-19,2026-06-15,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
14,2026-06-15 to 2026-06-19,2026-06-16,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
14,2026-06-15 to 2026-06-19,2026-06-16,Tuesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
14,2026-06-15 to 2026-06-19,2026-06-17,Wednesday,8:30 AM,9:00 AM,0.5,BPM Flight Control - Platform & Dev
14,2026-06-15 to 2026-06-19,2026-06-17,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
14,2026-06-15 to 2026-06-19,2026-06-17,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
14,2026-06-15 to 2026-06-19,2026-06-17,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
14,2026-06-15 to 2026-06-19,2026-06-18,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
14,2026-06-15 to 2026-06-19,2026-06-18,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
14,2026-06-15 to 2026-06-19,2026-06-19,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
14,2026-06-15 to 2026-06-19,2026-06-19,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
14,2026-06-15 to 2026-06-19,2026-06-19,Friday,9:30 AM,10:00 AM,0.5,Instrument Expiry - Support Exception Handling
15,2026-06-22 to 2026-06-26,2026-06-22,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
15,2026-06-22 to 2026-06-26,2026-06-22,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
15,2026-06-22 to 2026-06-26,2026-06-22,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
15,2026-06-22 to 2026-06-26,2026-06-23,Tuesday,8:00 PM,9:00 PM,1.0,Support KT - FX Closeouts Process Exception
15,2026-06-22 to 2026-06-26,2026-06-23,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
15,2026-06-22 to 2026-06-26,2026-06-23,Tuesday,9:30 AM,10:00 AM,0.5,Tech Talk || AURA (part of the Solution Snapshots)
15,2026-06-22 to 2026-06-26,2026-06-24,Wednesday,8:00 PM,9:00 PM,1.0,Support KT - FX Settled Process Exception Handling
15,2026-06-22 to 2026-06-26,2026-06-24,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
15,2026-06-22 to 2026-06-26,2026-06-24,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
15,2026-06-22 to 2026-06-26,2026-06-24,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
15,2026-06-22 to 2026-06-26,2026-06-25,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
15,2026-06-22 to 2026-06-26,2026-06-25,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
15,2026-06-22 to 2026-06-26,2026-06-26,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
15,2026-06-22 to 2026-06-26,2026-06-26,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
15,2026-06-22 to 2026-06-26,2026-06-26,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
15,2026-06-22 to 2026-06-26,2026-06-27,Saturday,4:00 AM,6:00 AM,2.0,Performance Testing - IA_EBINDER Stress Test
16,2026-06-29 to 2026-07-03,2026-07-01,Wednesday,4:45 AM,5:45 AM,1.0,TWOSIGMA Support Handover
16,2026-06-29 to 2026-07-03,2026-07-01,Wednesday,8:30 AM,9:00 AM,0.5,Support Handoff <> CORA
17,2026-07-06 to 2026-07-10,2026-07-06,Monday,10:00 AM,10:30 AM,0.5,IA Config Portal - DEMO
17,2026-07-06 to 2026-07-10,2026-07-06,Monday,9:00 AM,9:30 AM,0.5,BPM 3.25 Handover (6 JIRAs)
17,2026-07-06 to 2026-07-10,2026-07-06,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
17,2026-07-06 to 2026-07-10,2026-07-07,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
17,2026-07-06 to 2026-07-10,2026-07-07,Tuesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
17,2026-07-06 to 2026-07-10,2026-07-07,Tuesday,9:30 AM,10:00 AM,0.5,BPM Flight Control - Platform & Dev
17,2026-07-06 to 2026-07-10,2026-07-08,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
17,2026-07-06 to 2026-07-10,2026-07-08,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
17,2026-07-06 to 2026-07-10,2026-07-08,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
17,2026-07-06 to 2026-07-10,2026-07-09,Thursday,8:00 AM,8:45 AM,0.75,IA CONFIG PORTAL - DEMO
17,2026-07-06 to 2026-07-10,2026-07-09,Thursday,9:00 AM,10:00 AM,1.0,Blue Prism Troubleshooting
17,2026-07-06 to 2026-07-10,2026-07-10,Friday,8:00 AM,8:30 AM,0.5,BPM Flight Control - close out actions for 3.25
17,2026-07-06 to 2026-07-10,2026-07-10,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
17,2026-07-06 to 2026-07-10,2026-07-10,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
17,2026-07-06 to 2026-07-10,2026-07-10,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
18,2026-07-13 to 2026-07-17,2026-07-13,Monday,8:00 AM,9:00 AM,1.0,CORA Support Handoff <> Final Connect
18,2026-07-13 to 2026-07-17,2026-07-13,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
18,2026-07-13 to 2026-07-17,2026-07-13,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
18,2026-07-13 to 2026-07-17,2026-07-13,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
18,2026-07-13 to 2026-07-17,2026-07-14,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
18,2026-07-13 to 2026-07-17,2026-07-14,Tuesday,9:30 AM,10:30 AM,1.0,RPA Deployment Pause - Next Steps
18,2026-07-13 to 2026-07-17,2026-07-15,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
18,2026-07-13 to 2026-07-17,2026-07-15,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
18,2026-07-13 to 2026-07-17,2026-07-15,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
18,2026-07-13 to 2026-07-17,2026-07-16,Thursday,5:00 AM,6:30 AM,1.5,NAV Checklist/Ebinder Support Walkthrough
18,2026-07-13 to 2026-07-17,2026-07-16,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
18,2026-07-13 to 2026-07-17,2026-07-16,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
18,2026-07-13 to 2026-07-17,2026-07-17,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
18,2026-07-13 to 2026-07-17,2026-07-17,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
18,2026-07-13 to 2026-07-17,2026-07-17,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
19,2026-07-20 to 2026-07-24,2026-07-20,Monday,11:00 AM,11:30 AM,0.5,1:1 with Manager (Deotale)
19,2026-07-20 to 2026-07-24,2026-07-20,Monday,9:00 AM,10:00 AM,1.0,SRE Extended Review
19,2026-07-20 to 2026-07-24,2026-07-21,Tuesday,9:00 AM,10:00 AM,1.0,SRE Extended Review
19,2026-07-20 to 2026-07-24,2026-07-22,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
19,2026-07-20 to 2026-07-24,2026-07-22,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
19,2026-07-20 to 2026-07-24,2026-07-22,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
19,2026-07-20 to 2026-07-24,2026-07-23,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
19,2026-07-20 to 2026-07-24,2026-07-23,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
19,2026-07-20 to 2026-07-24,2026-07-24,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
19,2026-07-20 to 2026-07-24,2026-07-24,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
19,2026-07-20 to 2026-07-24,2026-07-24,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
20,2026-07-27 to 2026-07-31,2026-07-29,Wednesday,9:30 AM,10:30 AM,1.0,3.25 Retrospective
20,2026-07-27 to 2026-07-31,2026-07-30,Thursday,7:30 AM,8:00 AM,0.5,KT for VPL Pricing Checks
20,2026-07-27 to 2026-07-31,2026-07-31,Friday,10:00 AM,10:30 AM,0.5,Demo - IA Developer Best Practice Verification
20,2026-07-27 to 2026-07-31,2026-07-31,Friday,7:30 AM,8:00 AM,0.5,KT for VPL Pricing Checks
21,2026-08-03 to 2026-08-07,2026-08-03,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
21,2026-08-03 to 2026-08-07,2026-08-03,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
21,2026-08-03 to 2026-08-07,2026-08-03,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
21,2026-08-03 to 2026-08-07,2026-08-04,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
21,2026-08-03 to 2026-08-07,2026-08-04,Tuesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
21,2026-08-03 to 2026-08-07,2026-08-04,Tuesday,9:30 AM,10:00 AM,0.5,BPM Flight Control - Platform & Dev
21,2026-08-03 to 2026-08-07,2026-08-05,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
21,2026-08-03 to 2026-08-07,2026-08-05,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
21,2026-08-03 to 2026-08-07,2026-08-05,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
21,2026-08-03 to 2026-08-07,2026-08-06,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
21,2026-08-03 to 2026-08-07,2026-08-06,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
21,2026-08-03 to 2026-08-07,2026-08-07,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
21,2026-08-03 to 2026-08-07,2026-08-07,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
21,2026-08-03 to 2026-08-07,2026-08-07,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
22,2026-08-10 to 2026-08-14,2026-08-10,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
22,2026-08-10 to 2026-08-14,2026-08-10,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
22,2026-08-10 to 2026-08-14,2026-08-10,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
22,2026-08-10 to 2026-08-14,2026-08-11,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
22,2026-08-10 to 2026-08-14,2026-08-11,Tuesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
22,2026-08-10 to 2026-08-14,2026-08-11,Tuesday,9:30 AM,10:00 AM,0.5,BPM Flight Control - Platform & Dev
22,2026-08-10 to 2026-08-14,2026-08-12,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
22,2026-08-10 to 2026-08-14,2026-08-12,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
22,2026-08-10 to 2026-08-14,2026-08-12,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
22,2026-08-10 to 2026-08-14,2026-08-13,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
22,2026-08-10 to 2026-08-14,2026-08-13,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
22,2026-08-10 to 2026-08-14,2026-08-14,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
22,2026-08-10 to 2026-08-14,2026-08-14,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
22,2026-08-10 to 2026-08-14,2026-08-14,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
23,2026-08-17 to 2026-08-21,2026-08-17,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
23,2026-08-17 to 2026-08-21,2026-08-17,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
23,2026-08-17 to 2026-08-21,2026-08-17,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
23,2026-08-17 to 2026-08-21,2026-08-18,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
23,2026-08-17 to 2026-08-21,2026-08-18,Tuesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
23,2026-08-17 to 2026-08-21,2026-08-18,Tuesday,9:30 AM,10:00 AM,0.5,BPM Flight Control - Platform & Dev
23,2026-08-17 to 2026-08-21,2026-08-19,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
23,2026-08-17 to 2026-08-21,2026-08-19,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
23,2026-08-17 to 2026-08-21,2026-08-19,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
23,2026-08-17 to 2026-08-21,2026-08-20,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
23,2026-08-17 to 2026-08-21,2026-08-20,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
23,2026-08-17 to 2026-08-21,2026-08-21,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
23,2026-08-17 to 2026-08-21,2026-08-21,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
23,2026-08-17 to 2026-08-21,2026-08-21,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
24,2026-08-24 to 2026-08-28,2026-08-24,Monday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
24,2026-08-24 to 2026-08-28,2026-08-24,Monday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
24,2026-08-24 to 2026-08-28,2026-08-24,Monday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
24,2026-08-24 to 2026-08-28,2026-08-25,Tuesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
24,2026-08-24 to 2026-08-28,2026-08-25,Tuesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
24,2026-08-24 to 2026-08-28,2026-08-25,Tuesday,9:30 AM,10:00 AM,0.5,BPM Flight Control - Platform & Dev
24,2026-08-24 to 2026-08-28,2026-08-26,Wednesday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
24,2026-08-24 to 2026-08-28,2026-08-26,Wednesday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
24,2026-08-24 to 2026-08-28,2026-08-26,Wednesday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
24,2026-08-24 to 2026-08-28,2026-08-27,Thursday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
24,2026-08-24 to 2026-08-28,2026-08-27,Thursday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
24,2026-08-24 to 2026-08-28,2026-08-28,Friday,9:00 AM,9:30 AM,0.5,SRE Weekly Call
24,2026-08-24 to 2026-08-28,2026-08-28,Friday,9:00 AM,9:30 AM,0.5,Innovation IT - AWS Centralized Dashboard Planning
24,2026-08-24 to 2026-08-28,2026-08-28,Friday,9:30 AM,10:00 AM,0.5,Daily Standup - Innovation IT
